sim_type,regrowth,klepts,foragers,variable,value,value_cut
facultative,0.001,0.006,0.014,pc_intake_forager,0.000836394623346862,"(0,0.01]"
facultative,0.001,0.002,0.014,pc_intake_forager,0.000355199077213729,"(0,0.01]"
facultative,0.001,0.007,0.017,pc_intake_forager,0.00134872218611011,"(0,0.01]"
facultative,0.001,0.003,0.015,pc_intake_forager,0.000931384231404923,"(0,0.01]"
facultative,0.001,0.01,0.012,pc_intake_forager,0.000752037316584553,"(0,0.01]"
facultative,0.001,0.003,0.017,pc_intake_forager,0.000926806311128043,"(0,0.01]"
facultative,0.001,0.005,0.013,pc_intake_forager,0.000595327390194343,"(0,0.01]"
facultative,0.001,0.001,0.011,pc_intake_forager,0.000483326746646088,"(0,0.01]"
facultative,0.001,0.007,0.008,pc_intake_forager,0.00658470993353014,"(0,0.01]"
facultative,0.001,0.004,0.013,pc_intake_forager,0.000681057227359198,"(0,0.01]"
facultative,0.001,0.007,0.014,pc_intake_forager,0.000835487415073956,"(0,0.01]"
facultative,0.001,0.005,0.018,pc_intake_forager,0.00105647690545556,"(0,0.01]"
facultative,0.001,0.003,0.012,pc_intake_forager,0.00059071829835702,"(0,0.01]"
facultative,0.001,0.007,0.012,pc_intake_forager,0.0088158337854315,"(0,0.01]"
facultative,0.001,0.005,0.017,pc_intake_forager,0.0011896671259229,"(0,0.01]"
facultative,0.001,0.005,0.014,pc_intake_forager,0.000663940203674291,"(0,0.01]"
facultative,0.001,0.008,0.008,pc_intake_forager,0.000368903418469059,"(0,0.01]"
facultative,0.001,0.008,0.013,pc_intake_forager,0.000771246873180032,"(0,0.01]"
facultative,0.001,0.009,0.005,pc_intake_forager,0.00728459948337622,"(0,0.01]"
facultative,0.001,0.012,0.008,pc_intake_forager,0.0043155681640686,"(0,0.01]"
facultative,0.001,0.006,0.008,pc_intake_forager,0.000201819313400044,"(0,0.01]"
facultative,0.001,0.007,0.006,pc_intake_forager,0.00844486581053941,"(0,0.01]"
facultative,0.001,0.012,0.01,pc_intake_forager,0.009050945154416,"(0,0.01]"
facultative,0.001,0.005,0.007,pc_intake_forager,0.000240040276545877,"(0,0.01]"
facultative,0.001,0.011,0.007,pc_intake_forager,0.0037453563408392,"(0,0.01]"
facultative,0.001,0.009,0.009,pc_intake_forager,0.000279902184768351,"(0,0.01]"
facultative,0.001,0.011,0.012,pc_intake_forager,0.000732047873635898,"(0,0.01]"
facultative,0.001,0.007,0.005,pc_intake_forager,8.30996670055778e-05,"(0,0.01]"
facultative,0.001,0.009,0.006,pc_intake_forager,0.00840439931467806,"(0,0.01]"
facultative,0.001,0.01,0.006,pc_intake_forager,0.00618124499403598,"(0,0.01]"
facultative,0.001,0.008,0.007,pc_intake_forager,0.00739600615181988,"(0,0.01]"
facultative,0.001,0.013,0.009,pc_intake_forager,0.00723877010368892,"(0,0.01]"
facultative,0.001,0.008,0.012,pc_intake_forager,0.000659994640655245,"(0,0.01]"
facultative,0.001,0.01,0.005,pc_intake_forager,0.00396788749149143,"(0,0.01]"
facultative,0.001,0.009,0.013,pc_intake_forager,0.000779083764810355,"(0,0.01]"
facultative,0.001,0.009,0.008,pc_intake_forager,0.00641349926751495,"(0,0.01]"
facultative,0.001,0.008,0.015,pc_intake_forager,0.000877043316367981,"(0,0.01]"
facultative,0.001,0.011,0.011,pc_intake_forager,0.0184303756175222,"(0.01,0.02]"
facultative,0.001,0.008,0.01,pc_intake_forager,0.000499836679146732,"(0,0.01]"
facultative,0.001,0.008,0.014,pc_intake_forager,0.000795366826530101,"(0,0.01]"
facultative,0.001,0.012,0.007,pc_intake_forager,0.00481954609428989,"(0,0.01]"
facultative,0.001,0.012,0.009,pc_intake_forager,0.0133095999161276,"(0.01,0.02]"
facultative,0.001,0.006,0.011,pc_intake_forager,0.000447115798551708,"(0,0.01]"
facultative,0.001,0.013,0.007,pc_intake_forager,0.00510196053953013,"(0,0.01]"
facultative,0.001,0.004,0.015,pc_intake_forager,0.000852918504709385,"(0,0.01]"
facultative,0.001,0.011,0.009,pc_intake_forager,0.000305008322366139,"(0,0.01]"
facultative,0.001,0.01,0.008,pc_intake_forager,0.00364382257372488,"(0,0.01]"
facultative,0.001,0.007,0.013,pc_intake_forager,0.000709184249591646,"(0,0.01]"
facultative,0.001,0.009,0.004,pc_intake_forager,0.00493541546173125,"(0,0.01]"
facultative,0.001,0.01,0.009,pc_intake_forager,0.0031676602577582,"(0,0.01]"
facultative,0.001,0.003,0.019,pc_intake_forager,0.00122545140927957,"(0,0.01]"
facultative,0.001,0.012,0.011,pc_intake_forager,0.000612270322193658,"(0,0.01]"
facultative,0.001,0.004,0.019,pc_intake_forager,0.00125556758752008,"(0,0.01]"
facultative,0.001,0.008,0.006,pc_intake_forager,0.0123958974943266,"(0.01,0.02]"
facultative,0.001,0.006,0.013,pc_intake_forager,0.000683659748599641,"(0,0.01]"
facultative,0.001,0.006,0.015,pc_intake_forager,0.00084116838182897,"(0,0.01]"
facultative,0.001,0.004,0.008,pc_intake_forager,0.000266145364518468,"(0,0.01]"
facultative,0.001,0.007,0.019,pc_intake_forager,0.00163420569788026,"(0,0.01]"
facultative,0.001,0.01,0.014,pc_intake_forager,0.00775591699509387,"(0,0.01]"
facultative,0.001,0.005,0.008,pc_intake_forager,0.000264245625652531,"(0,0.01]"
facultative,0.001,0.01,0.01,pc_intake_forager,0.00992964792660709,"(0,0.01]"
facultative,0.001,0.005,0.006,pc_intake_forager,0.00013260419485585,"(0,0.01]"
facultative,0.001,0.007,0.01,pc_intake_forager,0.000472142918984866,"(0,0.01]"
facultative,0.001,0.011,0.016,pc_intake_forager,0.00123931757527292,"(0,0.01]"
facultative,0.001,0.007,0.02,pc_intake_forager,0.00158161357515652,"(0,0.01]"
